stop_id,name,lat,lng,collected_at,ars_no,city_code,city_name,managing_city
BSB174300201,부곡동,35.22311039,129.0912718,2025-10-31,,21,부산광역시,부산BIS
BSB174310301,부산정보관광고,35.22374908,129.0910186,2025-10-31,11108,21,부산광역시,부산BIS
BSB174320301,부산대역,35.23070226,129.0896166,2025-10-31,,21,부산광역시,부산BIS
BSB174330101,부곡대우아파트,35.23092878,129.0899821,2025-10-31,11112,21,부산광역시,부산BIS
BSB174330201,부산대역,35.23068056,129.0894151,2025-10-31,,21,부산광역시,부산BIS
BSB174330401,대우아파트후문,35.23244366,129.0895976,2025-10-31,,21,부산광역시,부산BIS
BSB174360201,부곡여자중학교,35.22248699,129.0938414,2025-10-31,,21,부산광역시,부산BIS
BSB174360401,부곡동,35.22326698,129.0913362,2025-10-31,,21,부산광역시,부산BIS
BSB174370201,동해중학교,35.21775558,129.0870099,2025-10-31,11104,21,부산광역시,부산BIS
BSB174370202,부곡4동주민센터.온천장역,35.22010009,129.0883148,2025-10-31,11105,21,부산광역시,부산BIS
BSB174370203,동해중학교,35.21763024,129.0868535,2025-10-31,6017,21,부산광역시,부산BIS
BSB174380101,동신교회,35.21811921,129.0962027,2025-10-31,,21,부산광역시,부산BIS
BSB174380102,서동초등학교,35.21880105,129.0984741,2025-10-31,,21,부산광역시,부산BIS
BSB174390201,서1동새마을금고,35.21657822,129.0978242,2025-10-31,11130,21,부산광역시,부산BIS
BSB174390202,책마을보드랑 작은도서관,35.21577885,129.1004005,2025-10-31,11187,21,부산광역시,부산BIS
BSB174390203,서동미로시장,35.2152984,129.1015587,2025-10-31,11131,21,부산광역시,부산BIS
BSB174390204,서동고개,35.21704524,129.0959955,2025-10-31,11123,21,부산광역시,부산BIS
BSB174390301,서동고개,35.21788762,129.0949092,2025-10-31,11124,21,부산광역시,부산BIS
BSB174390302,내성고등학교,35.21953285,129.0927291,2025-10-31,11121,21,부산광역시,부산BIS
BSB174390303,동현초등학교,35.22180315,129.0911899,2025-10-31,11120,21,부산광역시,부산BIS
BSB174400101,금정여자고등학교,35.21915148,129.099451,2025-10-31,,21,부산광역시,부산BIS
BSB174400102,서동시장입구,35.21723243,129.1018224,2025-10-31,,21,부산광역시,부산BIS
BSB174400103,금정여자고등학교,35.21862934,129.0999655,2025-10-31,,21,부산광역시,부산BIS
BSB174400104,서동시장,35.21704708,129.1019675,2025-10-31,,21,부산광역시,부산BIS
BSB174400201,서동초등학교,35.218855,129.098435,2025-10-31,11126,21,부산광역시,부산BIS
BSB174400202,동신교회,35.21823,129.09621,2025-10-31,11125,21,부산광역시,부산BIS
BSB174400203,서동,35.21830591,129.0961773,2025-10-31,,21,부산광역시,부산BIS
BSB174420201,한신아파트,35.2356351,129.0892566,2025-10-31,,21,부산광역시,부산BIS
BSB174420401,장전역2번출구,35.23789014,129.0886087,2025-10-31,,21,부산광역시,부산BIS
BSB174430501,장전역4번출구,35.23885045,129.0884166,2025-10-31,,21,부산광역시,부산BIS
BSB174440201,서동역,35.21319404,129.1073248,2025-10-31,11137,21,부산광역시,부산BIS
BSB174450101,금사입구,35.21495395,129.1089006,2025-10-31,11141,21,부산광역시,부산BIS
BSB174450201,금사입구,35.21411806,129.1091988,2025-10-31,11142,21,부산광역시,부산BIS
BSB174460201,서2동새마을금고,35.21447208,129.1028808,2025-10-31,,21,부산광역시,부산BIS
BSB174470201,세웅병원후문,35.21426227,129.1030093,2025-10-31,11134,21,부산광역시,부산BIS
BSB174470202,세웅병원후문,35.21350042,129.1039798,2025-10-31,,21,부산광역시,부산BIS
BSB174490101,서3동주민센터,35.21565595,129.1069508,2025-10-31,,21,부산광역시,부산BIS
BSB174490102,농협,35.21778604,129.1094185,2025-10-31,,21,부산광역시,부산BIS
BSB174490401,중앙교회,35.21642518,129.1056985,2025-10-31,,21,부산광역시,부산BIS
BSB174490402,서4동주민센터,35.21788333,129.1037917,2025-10-31,11128,21,부산광역시,부산BIS
BSB174540101,두실역,35.25834023,129.0915421,2025-10-31,11044,21,부산광역시,부산BIS
BSB174540201,행림병원,35.2542919,129.0912034,2025-10-31,11050,21,부산광역시,부산BIS
BSB174540202,금정이마트,35.25071731,129.0912784,2025-10-31,11117,21,부산광역시,부산BIS
BSB174550201,영락공원,35.27387775,129.1033624,2025-10-31,,21,부산광역시,부산BIS
BSB174550202,금정도서관,35.27241191,129.0972609,2025-10-31,,21,부산광역시,부산BIS
BSB174550203,영락원,35.27257407,129.1019352,2025-10-31,,21,부산광역시,부산BIS
BSB174550301,팔송,35.27176571,129.0925125,2025-10-31,11022,21,부산광역시,부산BIS
BSB174550302,범어사역,35.27230426,129.0924699,2025-10-31,,21,부산광역시,부산BIS
BSB174570101,노포삼거리,35.28018514,129.0935713,2025-10-31,11008,21,부산광역시,부산BIS
BSB174570201,노포삼거리,35.27863929,129.0929752,2025-10-31,,21,부산광역시,부산BIS
BSB174580101,서금지구대.금사역,35.21607494,129.1163347,2025-10-31,11145,21,부산광역시,부산BIS
BSB174580201,대우아파트,35.21452039,129.1169774,2025-10-31,,21,부산광역시,부산BIS
BSB174580202,우신아파트,35.21302884,129.1186105,2025-10-31,9288,21,부산광역시,부산BIS
BSB174580203,센텀SD아파트후문,35.21148543,129.1195701,2025-10-31,,21,부산광역시,부산BIS
BSB174580204,센텀SD아파트정문,35.20986393,129.1198601,2025-10-31,9309,21,부산광역시,부산BIS
BSB174580205,센텀강변현대아파트,35.20838075,129.1196562,2025-10-31,9289,21,부산광역시,부산BIS
BSB174580206,벽산한솔타운,35.20635148,129.1190621,2025-10-31,9269,21,부산광역시,부산BIS
BSB174580401,대우자동차,35.21709697,129.1153702,2025-10-31,,21,부산광역시,부산BIS
BSB174580501,금사역,35.21579945,129.1157326,2025-10-31,,21,부산광역시,부산BIS
BSB174590101,금사전화국,35.21518612,129.1136667,2025-10-31,11144,21,부산광역시,부산BIS
BSB174590201,금사전화국,35.21516016,129.1127847,2025-10-31,11143,21,부산광역시,부산BIS
BSB174600101,부곡늘푸른아파트117동,35.22314546,129.0967365,2025-10-31,,21,부산광역시,부산BIS
BSB174600301,부곡여자중학교,35.22267169,129.0938657,2025-10-31,,21,부산광역시,부산BIS
BSB174610101,BMC아파트121동,35.22162091,129.096162,2025-10-31,,21,부산광역시,부산BIS
BSB174610102,BMC아파트120동,35.22350217,129.0977905,2025-10-31,,21,부산광역시,부산BIS
BSB174610201,부곡늘푸른아파트117동,35.22329073,129.0967074,2025-10-31,,21,부산광역시,부산BIS
BSB174620101,BMC아파트121동,35.22150048,129.0962791,2025-10-31,,21,부산광역시,부산BIS
BSB174620102,BMC아파트120동,35.22358372,129.0979581,2025-10-31,,21,부산광역시,부산BIS
BSB174620201,뉴그린108동,35.22053522,129.0945438,2025-10-31,,21,부산광역시,부산BIS
BSB174630101,금정산SK뷰,35.22571944,129.0793627,2025-10-31,,21,부산광역시,부산BIS
BSB174630201,119안전체험관,35.21765238,129.0745165,2025-10-31,,21,부산광역시,부산BIS
BSB174630202,금강공원,35.21996823,129.0763929,2025-10-31,,21,부산광역시,부산BIS
BSB174630203,금강식물원,35.22597287,129.0779696,2025-10-31,,21,부산광역시,부산BIS
BSB174630204,온천119안전센터,35.2233783,129.0773056,2025-10-31,,21,부산광역시,부산BIS
BSB174630205,해양자연사박물관,35.22113573,129.0764649,2025-10-31,,21,부산광역시,부산BIS
BSB174630301,식물원,35.2272027,129.0780003,2025-10-31,,21,부산광역시,부산BIS
